id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	0.7952	-0.2772	3	8	16	22	316	12.9548	2016.1364	14.3636	0.5889
2	austria	0.1782	0.4429	2	10	15	14	571	38.3538	2017.6429	40.7857	2.7396
4	belgium	1.2969	-0.3238	3	3	5	9	102	4.4703	2015.5556	11.3333	0.4967
7	brazil	-0.6792	0.2667	1	5	5	6	89	5.7741	2019.5	14.8333	0.9623
11	canada	0.3264	-0.1282	2	6	6	15	1481	18.6219	2015.2	98.7333	1.2415
12	chile	0.0483	0.8474	4	7	10	6	225	10.8008	2017.5	37.5	1.8001
13	china	-0.3028	-0.0266	1	18	30	36	269	28.9453	2019.4444	7.4722	0.804
14	colombia	-0.0536	0.8866	4	7	11	5	36	3.9686	2018	7.2	0.7937
17	czech republic	-0.8543	-0.6797	5	6	10	5	40	4.2331	2020.2	8	0.8466
18	denmark	0.2915	0.3315	2	11	16	15	794	15.3901	2017.1333	52.9333	1.026
19	ecuador	-0.2326	0.6814	4	8	11	5	69	4.2499	2020	13.8	0.85
22	finland	0.273	0.593	2	8	9	15	317	20.3599	2018.1333	21.1333	1.3573
23	france	0.6151	-0.1064	3	10	18	22	427	30.4001	2017.1818	19.4091	1.3818
24	germany	-0.0082	0.0961	2	18	39	77	3625	143.2413	2017.2987	47.0779	1.8603
26	greece	0.2716	-0.7505	6	3	5	10	184	9.4631	2016.8	18.4	0.9463
28	india	0.274	-0.2669	1	8	8	24	163	10.822	2018.0833	6.7917	0.4509
30	iran	-0.8023	-0.097	1	6	6	9	96	9.3752	2017.8889	10.6667	1.0417
34	italy	0.1607	-0.4546	6	14	23	26	441	31.2693	2018.5769	16.9615	1.2027
38	lithuania	1.4291	-0.5406	3	1	1	5	89	4.536	2016	17.8	0.9072
39	malaysia	-0.5599	0.0517	1	7	13	22	146	11.0941	2018.3636	6.6364	0.5043
41	mexico	-0.378	0.8475	4	4	6	6	31	1.6773	2018.6667	5.1667	0.2795
44	netherlands	1.0574	-0.391	3	14	23	49	1241	73.3767	2016.3265	25.3265	1.4975
45	new zealand	0.4977	-0.2641	2	6	6	10	175	9.4889	2013.9	17.5	0.9489
46	nigeria	-0.3939	-0.3273	1	8	10	14	84	8.1083	2019.0714	6	0.5792
48	norway	-0.0737	-0.3543	6	6	9	10	77	5.2572	2017.2	7.7	0.5257
50	pakistan	-0.4036	0.13	1	11	21	18	124	16.9633	2020.1667	6.8889	0.9424
51	peru	0.1437	0.7657	4	6	7	6	60	2.7634	2016.5	10	0.4606
53	poland	-0.7184	-0.7312	5	9	14	13	100	10.9205	2019.9231	7.6923	0.84
54	portugal	1.0357	-0.2156	3	8	14	16	320	21.0443	2019.3125	20	1.3153
56	romania	-0.2313	1.4488	4	1	1	15	201	14.2396	2018.4	13.4	0.9493
57	russian federation	-0.6293	-0.7634	5	3	3	7	120	9.5106	2019.4286	17.1429	1.3587
59	saudi arabia	-0.2282	0.4561	1	11	16	9	73	7.616	2020	8.1111	0.8462
62	slovakia	-0.8753	-0.8323	5	3	5	7	99	8.2263	2019.7143	14.1429	1.1752
64	south africa	-0.5053	-0.6802	5	8	11	14	121	7.4972	2018.9286	8.6429	0.5355
65	south korea	-0.496	-0.7017	5	3	3	6	45	3.4226	2019.3333	7.5	0.5704
66	spain	-0.1305	0.8145	4	19	37	56	878	56.6676	2018.9821	15.6786	1.0119
67	sweden	0.3542	0.0072	6	8	14	20	457	23.9776	2017.2	22.85	1.1989
68	switzerland	0.3536	0.2477	2	5	6	11	722	7.7009	2015.2727	65.6364	0.7001
71	thailand	-0.5206	0.2844	1	4	4	7	24	1.1316	2018	3.4286	0.1617
73	tunisia	0.1786	0.2162	2	6	8	5	139	5.5938	2017.8	27.8	1.1188
74	turkey	-0.7658	-0.3117	1	8	8	6	36	5.3107	2019.8333	6	0.8851
77	united kingdom	0.2454	0.093	3	25	51	60	1710	61.8686	2017	28.5	1.0311
78	united states	0.0163	-0.2841	6	22	42	57	3222	72.1586	2015.7368	56.5263	1.2659
