id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
111	bibliometric analysis	0.7493	0.3423	7	8	10	5	2020.2	24.2	2.4204
135	business	-0.1986	-0.4075	6	48	91	27	2018.1852	26.8889	1.3714
142	business development	0.1312	0.2447	1	34	53	17	2017.8235	58.5882	3.1297
152	business model	0.8082	0.1295	1	19	33	13	2018	44.2308	2.5496
198	case study	0.6471	0.6559	1	8	8	6	2020.1667	5.3333	0.6208
218	circular economy	-0.4011	0.2705	5	12	17	7	2020.1429	13.7143	1.5131
233	climate change	-0.4778	0.3599	5	16	20	7	2019.5714	14.4286	2.0577
253	cognition	-0.3101	0.8367	3	11	12	5	2019.4	17.2	1.21
266	commerce	0.4023	-0.5913	2	15	17	5	2016.4	7	0.7003
292	comparative study	-0.2522	-0.6278	6	18	23	5	2019.6	13	0.9971
297	competition	0.5107	0.5486	1	8	11	6	2016	16	0.7204
311	conceptual framework	-0.144	0.6887	3	21	31	12	2019.0833	24.5	1.3216
355	corporate entrepreneurship	0.722	0.5614	1	8	9	6	2017.1667	10.3333	0.4454
366	corporate social responsibility	0.2396	0.2421	1	40	49	20	2016.3	14.55	0.6827
369	corporate strategy	0.0336	0.0034	5	11	20	6	2017	53.3333	1.4502
370	corporate sustainability	0.9012	0.4384	1	14	19	8	2015.875	125.875	3.3555
402	crowdfunding	0.86	-0.8963	2	14	24	9	2019.6667	20.1111	1.5079
403	crowdsourcing	1.0094	-0.7275	2	9	18	5	2019	33	2.2653
457	developing countries	-0.6743	-0.5505	4	18	24	8	2019.25	9.375	0.8962
460	developing world	-0.6582	-0.1506	4	14	21	5	2017.6	21.2	1.7363
508	ecology	0.8345	-0.1898	2	13	19	6	2014.8333	55	1.7901
515	economic and social effects	0.6254	-0.691	2	18	30	7	2012.2857	48.2857	1.3521
518	economic development	0.3461	-0.1345	2	28	36	11	2017.2727	27.5455	1.1045
520	economic growth	0.0607	0.1297	7	10	11	5	2020	9	0.9236
536	economics	0.6589	-0.839	2	15	21	6	2016.1667	35.8333	1.3665
547	ecosystems	1.1518	-0.0536	2	10	17	7	2017.4286	93	3.5402
551	education	-0.3262	-0.3402	6	38	57	16	2017.5625	22.5	1.2339
580	empirical analysis	-0.5478	0.117	4	39	58	16	2019.0625	17	1.1618
584	employment	-0.6233	-0.315	4	15	18	5	2018.2	9.2	0.4577
617	entrepreneurial ecosystem	0.5288	0.0651	7	12	15	8	2020.25	8.75	1.2474
618	entrepreneurial ecosystems	1.1397	0.0871	2	9	14	10	2020.3	22.1	2.6645
624	entrepreneurial intention	-0.6321	0.5971	3	5	5	5	2017	94	1.5697
636	entrepreneurial orientation	0.3341	0.7656	1	19	21	9	2018.2222	26.2222	1.4969
657	entrepreneurship education	-0.6388	0.174	3	13	16	10	2018.2	26.8	1.778
667	environment	0.4566	-0.3281	2	26	32	10	2016.9	85.2	0.8478
674	environmental economics	-0.2201	0.0711	5	29	38	10	2018	57.4	2.2201
675	environmental entrepreneurship	0.3613	0.0219	5	20	32	11	2016.3636	66.1818	1.8566
679	environmental impact	0.2663	0.5229	1	30	40	10	2016.9	35	1.6372
691	environmental performance	0.6719	0.9414	1	6	7	6	2020.1667	6.5	0.7775
727	europe	-0.3109	0.1852	5	13	16	5	2020.2	16.2	1.5303
775	finance	0.874	-0.6094	2	12	18	6	2019.3333	14.3333	1.1616
788	firm performance	0.0009	0.8795	1	11	17	6	2017.3333	23.3333	1.1036
789	firm size	-0.0206	0.4847	1	16	22	5	2019.8	12	0.7439
830	future prospect	0.2375	0.1251	5	17	25	5	2018.6	40.4	2.5636
838	gender	-0.565	-0.056	6	21	24	5	2019.8	8.8	0.7371
870	government	-0.9111	-0.2226	4	12	13	5	2019.6	5.2	0.3991
885	green entrepreneurship	-0.8461	-0.7456	4	7	8	6	2018.6667	10	0.6987
918	higher education	-0.6105	-0.4659	6	18	31	11	2018.5455	24.8182	1.7466
985	industrial engineering	1.0178	0.6247	1	9	16	6	2016.6667	37.6667	2.2383
986	industrial enterprise	-0.2331	-0.1798	4	18	20	6	2020	10.3333	1.3497
988	industrial performance	0.642	0.0454	1	17	19	5	2016.8	77.2	4.5762
993	industry	0.5629	0.3816	1	12	13	6	2014.5	9.5	0.5123
1000	innovation	0.065	-0.1256	7	65	130	52	2018.3269	42.0962	1.5719
1030	institutional framework	-0.5987	-0.6513	4	14	16	5	2016.8	169.6	2.0377
1072	investment	0.4561	-0.495	2	17	20	6	2018.5	32.5	1.445
1076	investments	0.808	-0.422	2	20	28	7	2017.5714	41.4286	1.9722
1077	iran	0.1645	0.4447	3	13	16	6	2016.1667	16.6667	1.0226
1089	knowledge	-0.7887	-0.1352	4	26	32	9	2018.6667	7.5556	0.5406
1122	learning	-1.0246	-0.4627	4	10	13	5	2017.2	29.4	1.4505
1145	literature review	-0.1727	0.252	5	19	34	10	2018.8	44.4	2.5916
1207	market conditions	-0.3436	-0.1569	4	14	20	5	2018.4	62.6	3.6094
1272	motivation	-0.7733	0.4458	3	9	10	7	2019.5714	16.1429	1.1863
1354	opportunity recognition	-0.6853	0.7408	3	13	14	5	2019	18.4	1.1995
1394	pakistan	-0.8206	0.1231	3	21	27	8	2020.375	10.125	1.2815
1416	perception	-0.5899	0.4442	3	26	44	13	2019.3846	12.3077	1.2223
1420	performance assessment	-0.1578	0.8576	1	15	21	5	2019	19	1.1019
1433	planning	0.3122	-0.3961	2	22	37	10	2018.3	39	3.1007
1490	production engineering	0.9311	0.6071	1	10	16	6	2018	28.6667	2.0979
1523	qualitative analysis	0.0229	-0.5434	7	17	19	8	2019	102	1.5278
1527	qualitative research	0.0312	-0.7299	7	10	13	6	2020.3333	6.3333	1.0854
1533	questionnaire survey	-0.1598	0.5583	3	26	36	10	2019.1	18.8	1.2833
1563	regression analysis	-0.5588	-0.7927	4	13	15	6	2018.3333	13.8333	0.8983
1588	research work	0.0064	0.6668	3	24	35	7	2019	31.2857	2.1679
1589	resilience	-1.0133	-0.1897	4	8	8	5	2018	32.8	1.6714
1674	self-efficacy	-0.6425	0.8314	3	7	11	5	2020.6	6.6	1.2077
1710	small and medium-sized enterprise	-0.3267	-0.0289	4	41	60	17	2017.8824	23.9412	1.4288
1730	smes	-0.4343	-0.0592	4	24	31	12	2017.4167	29	1.0091
1731	social	0.171	-0.8144	7	9	11	5	2013.8	204.2	1.7832
1736	social aspects	0.518	-0.9164	2	12	19	5	2010.2	26.6	0.7668
1745	social enterprise	-0.9781	0.3104	5	5	8	7	2019.2857	9.2857	0.4934
1750	social entrepreneurship	-0.1963	-0.0716	5	33	59	32	2017.125	24.8438	1.2931
1756	social innovation	-0.8137	0.2524	5	8	9	9	2017.7778	3.1111	0.3284
1775	social responsibility	-0.1891	-0.8762	6	11	12	6	2015	9.6667	0.7749
1810	spain	-0.4453	-0.838	6	15	20	5	2019.4	8.2	0.5981
1819	stakeholder	0.41	0.3903	1	16	22	7	2019.2857	26.7143	1.7
1830	start-ups	0.5373	0.2062	1	16	19	9	2017.5556	78.3333	1.7352
1839	strategic approach	0.031	-0.9444	7	10	16	6	2017.3333	15	0.7349
1856	student	-0.7591	-0.3008	6	26	55	12	2019.4167	11.1667	1.1821
1859	students	0.0872	-0.3728	2	18	26	7	2013.1429	48.7143	2.5893
1871	supply chain management	0.7317	0.8895	1	8	10	5	2016.2	9.8	0.6969
1903	sustainability orientation	-0.3875	0.5764	3	9	10	6	2017.3333	73.1667	1.4747
1919	sustainability transition	1.0684	-0.1983	2	13	17	7	2019.4286	10.7143	1.0657
1935	sustainable business	0.8855	-0.0757	2	21	36	11	2016.2727	39.5455	1.6747
1949	sustainable development	0.2034	-0.0775	2	101	350	141	2017.9787	28.0213	1.4842
1950	sustainable development goal	-0.0583	-0.3006	5	18	24	6	2020.8333	7.6667	1.5055
1951	sustainable development goals	0.1885	-0.2208	5	17	24	8	2020	16.625	1.3798
1967	sustainable entrepreneurial intention	-0.7945	0.8032	3	8	10	5	2021	6.4	1.4165
1969	sustainable entrepreneurial orientation	0.2932	0.8634	1	20	29	11	2019.5455	13.3636	0.9479
1988	sustainable innovation	0.5787	-0.2141	7	15	22	8	2018	27.375	1.42
2016	sweden	-0.0439	-0.4711	7	8	12	5	2017.2	15.2	1.0602
2029	teaching	-0.4458	-0.5912	6	15	22	6	2016.8333	9.6667	0.6628
2041	technology	0.6267	-0.4195	2	17	22	6	2016.5	23.8333	1.1816
2061	theory of planned behavior	-0.4479	0.6999	3	16	18	5	2020.4	13	1.4997
2074	tourism	-0.1667	-0.7791	6	19	22	7	2016.7143	37.1429	1.1657
2104	triple bottom line	-0.8748	0.6957	3	12	15	9	2019.2222	45.1111	2.6142
2127	united nations	-0.4394	-0.4171	5	13	18	5	2019.2	17.8	1.2956
2132	university	-0.3105	0.4337	3	9	12	7	2019	14.1429	1.4297
2139	university sector	-0.8706	-0.4239	6	22	36	8	2019	9.125	0.8721
